Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2024-12-20,253.5897979736328,434.21405029296875,254.09798847685343,441.31501544447383,244.82092317346877,426.28760397482347,247.16260139536695,430.74310199904505,147495300,64263700
2024-12-23,254.36703491210938,432.8714294433594,254.74568039470608,435.25830776300677,252.55346551957817,430.4646409959487,253.8688035675433,434.35327712310794,40858800,19152500
2024-12-24,257.28668212890625,436.9291076660156,257.2966260773909,437.1976515770788,254.386956808638,431.817212852652,254.58626151312842,432.27469051669533,23234700,7164500
2024-12-26,258.1037292480469,435.7157897949219,259.1799258751944,438.5303413291557,256.7186620602343,434.24389716434194,257.27667867815336,436.6804901261448,27237100,8194200
2024-12-27,254.68588256835938,428.1772155761719,257.78489719249416,432.8415878431465,252.16483330495137,424.020065946368,256.917949151404,432.22498090820386,42355300,18117700
2024-12-30,251.30787658691406,422.50836181640625,252.60328106925755,425.21349868579347,249.86300878941353,419.59438106008827,251.33776924994547,423.7316509986102,35557500,13158700
2024-12-31,249.5341796875,419.196533203125,252.38406352835983,424.39796256038005,248.54767617168994,418.3611273840335,251.5470385357527,423.771400608361,39480700,13246500
2025-01-02,242.9874267578125,416.2925109863281,248.21885574509324,423.74159992080814,240.96460876578237,412.5829142901712,248.0494437119358,423.2045424399656,55740700,16896500
2025-01-03,242.49916076660156,421.0364685058594,243.31625226562878,421.712745134401,241.03435939639962,417.2472919522773,242.49916076660156,418.77885425500915,40244100,16662900
2025-01-06,244.1333465576172,425.5118713378906,246.45510633108967,431.9465149926899,242.33971076643533,423.15482788109534,243.4457849039297,425.66104554069966,45045600,20573600
2025-01-07,241.3532257080078,420.0617980957031,244.681407317594,428.29654775990844,240.496267218822,418.50037065706186,242.12049100282684,426.655570865203,40856000,18139100
2025-01-08,241.84146118164062,422.2398376464844,242.84789810210984,424.6366709818625,239.20084146962273,419.2363524426034,241.06422159829904,421.145842919639,37628900,15054600
2025-01-10,236.01217651367188,416.6604919433594,239.31046533751606,422.38899347611215,232.1757893628752,412.7519459369572,239.16098682233465,422.30944402253056,61710900,20201100
2025-01-13,233.5708465576172,414.9101257324219,233.8398957390806,416.21296436365594,228.90740850459227,410.03690951971083,232.7039288898965,412.97077003054903,49630700,17604800
2025-01-14,232.45480346679688,413.3984375,235.28475371553364,417.4461724776856,231.6476711610837,408.4754763868852,233.91960476413306,415.5267269300622,39435300,16935900
2025-01-15,237.02854919433594,423.98028564453125,238.11470496290485,425.8102267141552,233.60071548412043,415.98421438422275,233.80997931617492,416.83953041233667,39832000,19637800
2025-01-16,227.4525604248047,422.25970458984375,237.1680713225123,427.1428756329152,227.22337827123218,422.07077084126166,236.51041752509497,426.35721474684357,71759100,15300000
